           VdW      Elec       GB       SA  :     TOTAL 
---------------------------------------------------------
  1 :   -59.13     52.36   -17.63    -9.40  :    -33.80 
  2 :   -50.98    132.03  -101.33    -8.96  :    -29.23 
  3 :   -58.53     83.84   -52.40    -9.40  :    -36.49 
  4 :   -54.11     -3.27    34.70    -9.10  :    -31.79 
  5 :   -53.98    -21.33    48.38    -8.98  :    -35.91 
  6 :   -56.28    117.27   -88.55    -8.92  :    -36.47 
  7 :   -53.27    -50.68    80.57    -8.80  :    -32.19 
  8 :   -54.53    -67.68    96.62    -8.72  :    -34.30 
  9 :   -55.20     15.72    15.05    -8.82  :    -33.27 
 10 :   -51.95     15.52    13.17    -9.21  :    -32.46 
 11 :   -53.59    122.69   -97.35    -9.00  :    -37.25 
 12 :   -50.81     90.43   -63.45    -9.10  :    -32.94 
 13 :   -53.58     47.28   -21.76    -8.74  :    -36.80 
 14 :   -49.17     69.04   -45.51    -8.49  :    -34.12 
 15 :   -55.50    137.08  -107.30    -8.89  :    -34.62 
 16 :   -56.18    -49.01    75.60    -8.80  :    -38.38 
 17 :   -53.36    110.58   -88.31    -8.70  :    -39.79 
 18 :   -56.18    -68.19    94.85    -8.85  :    -38.37 
 19 :   -52.28    -42.51    70.39    -8.94  :    -33.35 
 20 :   -52.48    239.87  -210.93    -8.84  :    -32.37 
 21 :   -54.60     72.57   -49.50    -8.78  :    -40.31 
 22 :   -53.89     11.10    11.67    -8.76  :    -39.89 
 23 :   -52.77    117.54   -93.15    -8.56  :    -36.94 
 24 :   -53.20     66.11   -37.86    -8.83  :    -33.77 
 25 :   -53.35     37.41    -9.07    -8.69  :    -33.70 
 26 :   -51.98    -49.27    74.81    -9.00  :    -35.43 
 27 :   -51.24     21.05     3.98    -8.92  :    -35.13 
 28 :   -55.32      1.44    23.15    -8.86  :    -39.58 
 29 :   -54.35     23.58    -1.41    -8.65  :    -40.83 
 30 :   -58.11    108.79   -75.12    -8.85  :    -33.29 
---------------------------------------------------------
AVE :   -54.00     44.71   -17.26    -8.89  :    -35.43 
SD  :     2.29     73.57    73.37     0.21  :      2.93 
N_EF:    44.24     34.21    33.85    15.74  :     21.58 
ERR :     0.34     12.58    12.61     0.05  :      0.63 
